id,place,rocks,            latitude,longitude
1,Aegean Sea Plate,"Sediment, Sedimentary rock, Calc-schist, Breccia, Leptite, Porphyroid, Metadolerite, Metavolcanic rock, Restite, Metaperidotite, Metapyroxenite, Metagabbro, Granofels, Metasomatic-rock, Epidosite, Mylonite, Cataclasite, Metadiorite, Serpentinite, Metasedimentary rock, Jade, Granulite, Eclogite, Garnetite, Migmatite, Amphibolite, Gneiss, Laterite, Regolith, Duricrust, Alluvial deposit, Lacustrine deposit, Cipolin, Marble, Metalimestone, Calc-silicate rock, Ophicarbonate, Schist",24,34
2,Afghanistan,"Iron ore, Mafic rock, Nordmarkite, Umptekite, Bostonite,  Granitoid, Quartz-syenite, Syenite, Quartz-monzonite, Monzonite, Dioritoid, Sodalite-syenite, Nepheline-syenite, Cancrinite-syenite, Shonkinite, Gabbroid, Picrobasalt, Ultramafic-rock, Peridotite, Pyroxenite, Hornblendite, Aplite, Dolerite, Ophiolite, Melilitite, Lamproite, Lamprophyre, Kimberlite, Nelsonite, Phoscorite, Chromitite, Magnetitite, Cumulate, Porphyry, Gravel, Sand, Laterite, Saprolite, Silcrete, Ferricrete, Caliche, Gossan, Alluvial deposit, Lacustrine deposit, Carbonate sediment, Ooze, Sedimentary rock",33.7680065,66.2385139
3,Africa,"Gabbro, Pyroxenite, Ophiolite",11.5024338,17.7578122
4,African Plate,"Granitoid, Monzogabbro, Gabbro, Aplite, Dolerite, Ophiolite, Porphyry, Lamprophyre, Kimberlite, Obsidian, Pumice, Pyroclastic sediment, Pyroclastic-rock, Volcanic breccia, Pegmatite, Gravel, Red bed, Sandstone, Mudstone, Limestone, Chert, H5 chondrite meteorite",37,51
6,Albania,"Granitoid, Monzogabbro, Gabbro, Aplite, Dolerite, Ophiolite, Porphyry, Lamprophyre, Kimberlite, Obsidian, Pumice, Pyroclastic sediment, Pyroclastic-rock, Volcanic breccia, Pegmatite, Gravel, Red bed, Sandstone, Mudstone, Limestone, Chert, H5 chondrite meteorite",41.000028,19.9999619
7,Algeria,"Gabbro, Granite, Peridotite, Pyroxenite, Rhyolite, Trachyandesite, Latite, Trachybasalt, Trachyte, Foidite, Basalt, Basanite, Phonolitic-tephrite, Tephrite, Basanitoid, Ironstone, Sandstone, Dolerite, Carbonatite, Lamproite, Gneiss",28.0000272,2.999825
8,Altiplano Plate,"Granitoid, Monzogabbro, Gabbro, Aplite, Dolerite, Ophiolite, Porphyry, Lamprophyre, Kimberlite, Obsidian, Pumice, Pyroclastic sediment, Pyroclastic-rock, Volcanic breccia, Pegmatite, Gravel, Red bed, Sandstone, Mudstone, Limestone, Chert, H5 chondrite meteorite",-16.0036,-69.6533
9,Amur Plate," Mafic rock, Basite, Belugit, Granitoid, Syenitoid, Quartz-monzodiorite, Carbonatite, Lamprophyre, Chromitite, Cumulate, Glassy igneous rock, Pyroclastic-rock, Volcanic breccia, Pegmatite, Sediment, Sedimentary rock, Leptite, Porphyroid, Parabasalt, Metadolerite, Metavolcanic rock, Metagranite, Metahornblendite, Metagabbr, Metadiorite, Serpentinite, Metasedimentary rock, Jade, Granulite, Eclogite, Amphibolite, Gneiss, Marble, Carbonate-silicate rock, Calc-silicate rock,  Schist, Metasomatic-rock,  Mylonite,  Cataclasite,  H5 chondrite meteorite,  H5-7 chondrite meteorite,  L3 chondrite meteorite,  L4 chondrite meteorite,  L6 chondrite meteorite,  Mesosiderite meteorite,  Iron meteorite, Soil, Laterite, Alluvial deposit, Lacustrine deposit",52.4,128.3
10,Anatolia Plate,"Granitoid, Dioritoid, Gabbroid, Foidolite, Peridotite, Pyroxenite, Hornblendite, Aplite, Andesite-basalt, Pillow lava, Trachyandesite, Trachybasalt, Trachyte, Andesite, Basalt, Ultramafic-rock, Dolerite, Ophiolite, Porphyry, Carbonatite, Lamproite, Lamprophyre, Glassy igneous rock, Pyroclastic-rock, Tuffite, Volcanic breccia, Clay, Sandstone, Mudstone, Limestone, Dolostone, Evaporite, Ironstone, Radiolarite, Chert, Volcaniclastic rock, Calc-schist, Tectonite, Metavolcanic rock, Metagranite, Metagranodiorite, Metagabbro, Serpentinite, Metasandstone, Metamudstone, Granulite, Amphibolite, Gneiss, Schist, Hornfels, Fenite, Skarn, Listvenite, Hydrothermal breccia, Meteorite, Laterite, Silcrete, Ferricrete, Gossan, Alluvial deposit",39.0004,32.9979
11,Andorra,Schist,42.5407167,1.5732033
12,Angola,"Granitoid, Nordmarkite, Umptekite, Syenite, Monzonite, Gabbro, Nepheline-syenite, Foidolite, Peridotite, Pyroxenite, Hornblendite, Latite, Trachyte, Phonolite, Nephelinite, Basanitoid, Dolerite, Porphyry, Carbonatite, Melilitolite, Lamprophyre, Kimberlit, Pegmatite, Sandstone, Petrified Wood, Granulite, Amphibolite, Gneiss, Schist",-11.8775768,17.5691241
13,Anguilla,"Humic coal series, Basic volcanic rock",18.1954947,-63.0750234
14,Antarctic Meteorites,"Orbiculite, Granitoid, Monzogabbro, Gabbro, Nepheline-syenite, Peridotite, Pyroxenite, Hornblendite, Aplite, Picrobasalt, Dolerite, Ophiolite, Lamproite, Lamprophyre, Glassy igneous rock, Pyroclastic sediment, Agglomerate, Lapilli-tuff, Tuff, Pegmatite",-83.1789,155.836
15,Antarctic Plate,"Orbiculite, Granitoid, Monzogabbro, Gabbro, Nepheline-syenite, Peridotite, Pyroxenite, Hornblendite, Aplite, Pillow lava, Rhyolitoid, Quartz-trachyte, Trachyandesite, Trachybasalt, Trachyte, Leucitite, Nephelinite, Basalt, Adakite, Picrobasalt, Dolerite, Ophiolite, Lamproite, Lamprophyre, Agglomerate, Lapilli-tuff, Tuff, Pegmatite, Sandstone, Petrified Wood, Metamorphic rock, Meteorite",82.8628,135
18,Arabian Peninsula,"Alkali-feldspar-granite, Granite, Granodiorite, Tonalite, Dioritoid, Gabbro, Peridotite, Pyroxenite, Aplite, Pillow lava, Rhyolite, Quartz-trachyte, Trachyandesite, Trachybasalt, Trachyte, Basalt, Dolerite, Ophiolite, Porphyry, Carbonatite, Agglomerate, Tuff, Pegmatite, Sandstone, Mudstone, Concretion, Limestone, Dolostone, Phosphorite, Chert, Volcaniclastic rock, Serpentinite, Granulite, Amphibolite, Gneiss, Schist, Greisen, CR2 chondrite meteorite, EH3 chondrite meteorite, H5 chondrite meteorite, Lunar achondrite meteorite, Mesosiderite meteorite, Gossan",22.3742506,49.4770891
